matrix(560, 1)
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.383941 )
( 0.560062 )
( 0.394346 )
( 0.560063 )
( 0.394346 )
( 0.560063 )
( 0.394346 )
( 0.560063 )
( 0.394346 )
( 0.560064 )
( 0.394346 )
( 0.560064 )
( 0.394347 )
( 0.560065 )
( 0.394347 )
( 0.560065 )
( 0.394347 )
( 0.560065 )
( 0.394347 )
( 0.560066 )
( 0.394347 )
( 0.560066 )
( 0.394347 )
( 0.560067 )
( 0.394347 )
( 0.560067 )
( 0.394347 )
( 0.560067 )
( 0.394347 )
( 0.560068 )
( 0.394347 )
( 0.560068 )
( 0.394347 )
( 0.560068 )
( 0.394347 )
( 0.560068 )
( 0.394347 )
( 0.560069 )
( 0.394347 )
( 0.560069 )
( 0.394347 )
( 0.358178 )
( 0.414725 )
( 0.553411 )
( 0.550582 )
( 0.58301 )
( 0.358178 )
( 0.414725 )
( 0.553411 )
( 0.550583 )
( 0.58301 )
( 0.358179 )
( 0.414725 )
( 0.553411 )
( 0.550583 )
( 0.583011 )
( 0.358179 )
( 0.414725 )
( 0.553411 )
( 0.550584 )
( 0.583011 )
( 0.358179 )
( 0.414725 )
( 0.553411 )
( 0.550584 )
( 0.583011 )
( 0.358179 )
( 0.414725 )
( 0.55341 )
( 0.550585 )
( 0.583011 )
( 0.358179 )
( 0.414725 )
( 0.55341 )
( 0.550585 )
( 0.583012 )
( 0.358179 )
( 0.414725 )
( 0.55341 )
( 0.550586 )
( 0.583012 )
( 0.358179 )
( 0.414725 )
( 0.55341 )
( 0.550586 )
( 0.583012 )
( 0.358179 )
( 0.414725 )
( 0.553409 )
( 0.550587 )
( 0.583012 )
( 0.358179 )
( 0.414725 )
( 0.553409 )
( 0.550587 )
( 0.583012 )
( 0.358179 )
( 0.414725 )
( 0.553409 )
( 0.550588 )
( 0.583013 )
( 0.358179 )
( 0.414725 )
( 0.553409 )
( 0.550588 )
( 0.583013 )
( 0.358179 )
( 0.414725 )
( 0.553408 )
( 0.550589 )
( 0.583013 )
( 0.358179 )
( 0.414725 )
( 0.553408 )
( 0.550589 )
( 0.583013 )
( 0.358179 )
( 0.414725 )
( 0.553408 )
( 0.55059 )
( 0.583013 )
( 0.358179 )
( 0.414725 )
( 0.553408 )
( 0.55059 )
( 0.583014 )
( 0.358179 )
( 0.414725 )
( 0.553407 )
( 0.55059 )
( 0.583014 )
( 0.358179 )
( 0.414725 )
( 0.553407 )
( 0.550591 )
( 0.583014 )
( 0.358179 )
( 0.414725 )
( 0.553407 )
( 0.550591 )
( 0.583014 )
( 0.423663 )
( 0.392294 )
( 0.706366 )
( 0.426627 )
( 0.661413 )
( 0.553405 )
( 0.739585 )
( 0.540355 )
( 0.36187 )
( 0.392295 )
( 0.423663 )
( 0.392294 )
( 0.706367 )
( 0.426627 )
( 0.661413 )
( 0.553405 )
( 0.739585 )
( 0.540356 )
( 0.36187 )
( 0.392295 )
( 0.423663 )
( 0.392294 )
( 0.706367 )
( 0.426627 )
( 0.661412 )
( 0.553405 )
( 0.739585 )
( 0.540356 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706368 )
( 0.426627 )
( 0.661412 )
( 0.553405 )
( 0.739585 )
( 0.540357 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706368 )
( 0.426627 )
( 0.661412 )
( 0.553405 )
( 0.739585 )
( 0.540357 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706368 )
( 0.426627 )
( 0.661412 )
( 0.553405 )
( 0.739585 )
( 0.540358 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706369 )
( 0.426627 )
( 0.661412 )
( 0.553404 )
( 0.739585 )
( 0.540358 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706369 )
( 0.426627 )
( 0.661412 )
( 0.553404 )
( 0.739585 )
( 0.540358 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.70637 )
( 0.426627 )
( 0.661411 )
( 0.553404 )
( 0.739585 )
( 0.540359 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.70637 )
( 0.426627 )
( 0.661411 )
( 0.553404 )
( 0.739585 )
( 0.540359 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.70637 )
( 0.426627 )
( 0.661411 )
( 0.553404 )
( 0.739585 )
( 0.54036 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706371 )
( 0.426627 )
( 0.661411 )
( 0.553404 )
( 0.739585 )
( 0.54036 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706371 )
( 0.426627 )
( 0.661411 )
( 0.553403 )
( 0.739586 )
( 0.54036 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706371 )
( 0.426627 )
( 0.661411 )
( 0.553403 )
( 0.739586 )
( 0.540361 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706372 )
( 0.426627 )
( 0.66141 )
( 0.553403 )
( 0.739586 )
( 0.540361 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706372 )
( 0.426627 )
( 0.66141 )
( 0.553403 )
( 0.739586 )
( 0.540361 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706372 )
( 0.426627 )
( 0.66141 )
( 0.553403 )
( 0.739586 )
( 0.540362 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392294 )
( 0.706373 )
( 0.426626 )
( 0.66141 )
( 0.553403 )
( 0.739586 )
( 0.540362 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392295 )
( 0.706373 )
( 0.426626 )
( 0.66141 )
( 0.553402 )
( 0.739586 )
( 0.540362 )
( 0.36187 )
( 0.392295 )
( 0.423664 )
( 0.392295 )
( 0.706373 )
( 0.426626 )
