matrix(560, 1)
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 0.340577 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 1 )
( 0.342105 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.371557 )
( 0.521537 )
( 0.398678 )
( 0.4343 )
( 0.369818 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456731 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475179 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.456955 )
( 0.456732 )
( 0.393414 )
( 0.475178 )
( 0.439772 )
( 0.398679 )
( 0.528806 )
( 0.410407 )
( 0.347356 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.356736 )
( 0.456732 )
( 0.393414 )
( 0.40315 )
( 0.363281 )
( 0.439772 )
( 0.362329 )
( 0.356736 )
( 0.456732 )
( 0.40315 )
