time,branch0,branch1,branch2,branch3,branch4,branch5,branch6,branch7,branch8,branch9,branch10,branch11,branch12,branch13,branch14,branch15,branch16,branch17,branch18,branch19,branch20,branch21,branch22,branch23,branch24,branch25,branch26,branch27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2.22578e-08,4.51625e-10,6.01374e-10,1.22103e-11,3.9505e-10,6.23547e-11,3.39427e-13,5.36544e-10,7.77211e-09,1.78951e-08,4.10132e-10,1.40308e-08,6.5259e-10,1.68055e-08,6.20858e-09,2.0332e-08,1.02464e-08,1.12872e-08,2.45746e-11,3.75973e-12,2.45928e-12,5.5274e-11,2.03466e-08,1.81438e-08,2.40643e-09,6.54501e-12,1.08097e-11,6.44078e-11,
10,4.18895e-08,1.10891e-09,1.47522e-09,2.99072e-11,8.89998e-10,1.40938e-10,7.68541e-13,1.20199e-09,1.63572e-08,3.54915e-08,8.98813e-10,2.73126e-08,1.46211e-09,3.26369e-08,1.4247e-08,4.1325e-08,2.01114e-08,2.16383e-08,6.08535e-11,9.23904e-12,5.94027e-12,1.36909e-10,4.23411e-08,3.4542e-08,5.38208e-09,1.49509e-11,2.44569e-11,1.45543e-10,
15,5.90276e-08,2.0807e-09,2.76396e-09,5.60004e-11,1.50829e-09,2.39419e-10,1.30774e-12,2.02497e-09,2.57012e-08,5.26799e-08,1.48014e-09,3.9953e-08,2.46419e-09,4.73573e-08,2.45761e-08,6.23032e-08,2.96509e-08,3.11635e-08,1.14546e-10,1.7367e-11,1.09012e-11,2.58031e-10,6.55765e-08,4.93499e-08,9.03849e-09,2.5723e-11,4.1574e-11,2.47224e-10,
20,7.38014e-08,3.53606e-09,4.68697e-09,9.52617e-11,2.28206e-09,3.63156e-10,1.9875e-12,3.04249e-09,3.5729e-08,6.93671e-08,2.17263e-09,5.20282e-08,3.70451e-09,6.08725e-08,3.77033e-08,8.25059e-08,3.88955e-08,3.99128e-08,1.95214e-10,2.96058e-11,1.80951e-11,4.40392e-10,8.94197e-08,6.26432e-08,1.34982e-08,3.96499e-11,6.31032e-11,3.74988e-10,
25,8.63782e-08,5.7242e-09,7.5626e-09,1.55242e-10,3.25131e-09,5.1893e-10,2.84681e-12,4.2977e-09,4.6344e-08,8.54383e-08,2.99777e-09,6.36024e-08,5.23648e-09,7.31246e-08,5.4045e-08,1.01074e-07,4.78667e-08,4.79353e-08,3.17314e-10,4.81637e-11,2.86461e-11,7.16834e-10,1.12904e-07,7.44524e-08,1.88824e-08,5.78208e-11,9.02416e-11,5.35837e-10,
30,9.69549e-08,8.98197e-09,1.18096e-08,2.47507e-10,4.46529e-09,7.1526e-10,3.93527e-12,5.83885e-09,5.74382e-08,1.00756e-07,3.97991e-09,7.47283e-08,7.12016e-09,8.40932e-08,7.37333e-08,1.17185e-07,5.65786e-08,5.52793e-08,5.01279e-10,7.61586e-11,4.41322e-11,1.13364e-09,1.34705e-07,8.47827e-08,2.52967e-08,8.17307e-11,1.24501e-10,7.38574e-10,
35,1.05749e-07,1.36955e-08,1.78826e-08,3.88745e-10,5.98374e-09,9.6277e-10,5.31542e-12,7.717e-09,6.89027e-08,1.15165e-07,5.14566e-09,8.54488e-08,9.41949e-09,9.37938e-08,9.63699e-08,1.30245e-07,6.50393e-08,6.19918e-08,7.72661e-10,1.17479e-10,6.65269e-11,1.74835e-09,1.53298e-07,9.3637e-08,3.28133e-08,1.13384e-10,1.67781e-10,9.94177e-10,
40,1.12984e-07,2.01792e-08,2.60987e-08,6.00963e-10,7.87788e-09,1.27458e-09,7.06523e-12,9.982e-09,8.06337e-08,1.285e-07,6.52276e-09,9.57977e-08,1.21972e-08,1.02274e-07,1.2083e-07,1.40056e-07,7.32533e-08,6.81182e-08,1.15713e-09,1.76002e-10,9.78412e-11,2.6179e-09,1.67405e-07,1.01039e-07,4.14515e-08,1.55349e-10,2.22446e-10,1.31621e-09,
45,1.18881e-07,2.84977e-08,3.641e-08,9.10196e-10,1.02307e-08,1.66669e-09,9.28073e-12,1.26766e-08,9.25362e-08,1.40599e-07,8.13837e-09,1.058e-07,1.55072e-08,1.09607e-07,1.45281e-07,1.46861e-07,8.12228e-08,7.37022e-08,1.67142e-09,2.54205e-10,1.39474e-10,3.77771e-09,1.76637e-07,1.07051e-07,5.11616e-08,2.10734e-10,2.91417e-10,1.72122e-09,
50,1.23649e-07,3.83817e-08,4.83376e-08,1.3451e-09,1.31365e-08,2.15845e-09,1.20795e-11,1.58296e-08,1.04524e-07,1.5133e-07,1.00168e-08,1.15473e-07,1.93852e-08,1.15883e-07,1.67538e-07,1.5123e-07,8.89486e-08,7.87855e-08,2.3168e-09,3.52174e-10,1.91748e-10,5.22681e-09,1.81769e-07,1.11783e-07,6.18174e-08,2.83161e-10,3.78275e-10,2.22923e-09,
55,1.27478e-07,4.93652e-08,6.1202e-08,1.93849e-09,1.66992e-08,2.773e-09,1.56058e-11,1.94493e-08,1.16517e-07,1.60606e-07,1.21776e-08,1.24828e-07,2.3839e-08,1.21206e-07,1.85728e-07,1.53845e-07,9.64313e-08,8.34077e-08,3.08282e-09,4.68219e-10,2.54191e-10,6.93702e-09,1.84224e-07,1.1539e-07,7.32212e-08,3.76925e-10,4.87383e-10,2.86419e-09,
60,1.30533e-07,6.10109e-08,7.44212e-08,2.73227e-09,2.10304e-08,3.53785e-09,2.00382e-11,2.35196e-08,1.28442e-07,1.68405e-07,1.46335e-08,1.33866e-07,2.88412e-08,1.25683e-07,1.98946e-07,1.55319e-07,1.03672e-07,8.76062e-08,3.95764e-09,6.0046e-10,3.26304e-10,8.87687e-09,1.85268e-07,1.18055e-07,8.51186e-08,4.9738e-10,6.2406e-10,3.65459e-09,
65,1.3296e-07,7.30152e-08,8.761e-08,3.78264e-09,2.62459e-08,4.4857e-09,2.55997e-11,2.80002e-08,1.40223e-07,1.7478e-07,1.73907e-08,1.42586e-07,3.43273e-08,1.2942e-07,2.07483e-07,1.56109e-07,1.10671e-07,9.14162e-08,4.93451e-09,7.47809e-10,4.08051e-10,1.10264e-08,1.85678e-07,1.19968e-07,9.72207e-08,6.51369e-10,7.94812e-10,4.63433e-09,
70,1.32867e-07,7.30586e-08,8.76507e-08,3.7933e-09,2.62935e-08,4.49887e-09,2.56871e-11,2.8029e-08,1.40213e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43556e-08,1.29343e-07,2.07406e-07,1.56026e-07,1.10634e-07,9.1337e-08,4.96077e-09,7.4845e-10,4.09901e-10,1.10764e-08,1.8556e-07,1.1989e-07,9.72368e-08,6.53514e-10,7.97453e-10,4.64737e-09,
75,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.4842e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
80,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
85,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
90,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
95,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
100,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
105,1.32867e-07,7.30586e-08,8.76507e-08,3.79335e-09,2.62937e-08,4.49896e-09,2.56878e-11,2.80291e-08,1.40212e-07,1.74702e-07,1.74072e-08,1.4254e-07,3.43557e-08,1.29343e-07,2.07405e-07,1.56026e-07,1.10634e-07,9.13369e-08,4.96115e-09,7.48419e-10,4.09923e-10,1.1077e-08,1.85559e-07,1.1989e-07,9.72367e-08,6.53529e-10,7.97473e-10,4.64746e-09,
