time,Integral
0,0
1,5.26595e-08
2,1.02307e-07
3,1.51648e-07
4,2.00766e-07
5,2.49663e-07
6,2.98337e-07
7,3.46787e-07
8,3.95014e-07
9,4.43016e-07
10,4.90791e-07
11,5.3834e-07
12,5.8566e-07
13,6.3275e-07
14,6.7961e-07
15,7.26239e-07
16,7.72634e-07
17,8.18795e-07
18,8.6472e-07
19,9.10408e-07
20,9.55858e-07
21,1.00107e-06
22,1.04604e-06
23,1.09076e-06
24,1.13525e-06
25,1.17948e-06
26,1.22347e-06
27,1.26721e-06
28,1.3107e-06
29,1.35394e-06
30,1.39693e-06
31,1.43966e-06
32,1.48213e-06
33,1.52435e-06
34,1.5663e-06
35,1.608e-06
36,1.64943e-06
37,1.6906e-06
38,1.7315e-06
39,1.77213e-06
40,1.81249e-06
41,1.85259e-06
42,1.89241e-06
43,1.93195e-06
44,1.97122e-06
45,2.01022e-06
46,2.04893e-06
47,2.08737e-06
48,2.12552e-06
49,2.16339e-06
50,2.20098e-06
51,2.23828e-06
52,2.27529e-06
53,2.31202e-06
54,2.34845e-06
55,2.38459e-06
56,2.42045e-06
57,2.45601e-06
58,2.49127e-06
59,2.52624e-06
60,2.56091e-06
61,2.59529e-06
62,2.62936e-06
63,2.66314e-06
64,2.69662e-06
65,2.7298e-06
66,2.76267e-06
67,2.79525e-06
68,2.82752e-06
69,2.85949e-06
70,2.89115e-06
71,2.92251e-06
72,2.95357e-06
73,2.98432e-06
74,3.01476e-06
75,3.0449e-06
76,3.07474e-06
77,3.10426e-06
78,3.13349e-06
79,3.16241e-06
80,3.19102e-06
81,3.21932e-06
82,3.24733e-06
83,3.27502e-06
84,3.30241e-06
85,3.3295e-06
86,3.35629e-06
87,3.38277e-06
88,3.40895e-06
89,3.43482e-06
90,3.4604e-06
91,3.48567e-06
92,3.51065e-06
93,3.53533e-06
94,3.55971e-06
95,3.58379e-06
96,3.60757e-06
97,3.63107e-06
98,3.65426e-06
99,3.67717e-06
100,3.69979e-06
101,3.72211e-06
102,3.71609e-06
103,3.71578e-06
104,3.71577e-06
105,3.71577e-06
106,3.71577e-06
107,3.71577e-06
108,3.71577e-06
109,3.71577e-06
110,3.71577e-06
111,3.71577e-06
112,3.71577e-06
113,3.71577e-06
114,3.71577e-06
115,3.71577e-06
116,3.71577e-06
117,3.71577e-06
118,3.71577e-06
119,3.71577e-06
120,3.71577e-06
121,3.71577e-06
122,3.71577e-06
123,3.71577e-06
124,3.71577e-06
125,3.71577e-06
126,3.71577e-06
127,3.71577e-06
128,3.71577e-06
129,3.71577e-06
130,3.71577e-06
131,3.71577e-06
132,3.71577e-06
133,3.71577e-06
134,3.71577e-06
135,3.71577e-06
136,3.71577e-06
137,3.71577e-06
138,3.71577e-06
139,3.71577e-06
140,3.71577e-06
141,3.71577e-06
142,3.71577e-06
143,3.71577e-06
144,3.71577e-06
145,3.71577e-06
146,3.71577e-06
147,3.71577e-06
148,3.71577e-06
149,3.71577e-06
150,3.71577e-06
151,3.71577e-06
152,3.71577e-06
153,3.71577e-06
154,3.71577e-06
155,3.71577e-06
156,3.71577e-06
157,3.71577e-06
158,3.71577e-06
159,3.71577e-06
160,3.71577e-06
161,3.71577e-06
162,3.71577e-06
163,3.71577e-06
164,3.71577e-06
165,3.71577e-06
166,3.71577e-06
167,3.71577e-06
168,3.71577e-06
169,3.71577e-06
170,3.71577e-06
171,3.71577e-06
172,3.71577e-06
173,3.71577e-06
174,3.71577e-06
175,3.71577e-06
176,3.71577e-06
177,3.71577e-06
178,3.71577e-06
179,3.71577e-06
180,3.71577e-06
181,3.71577e-06
182,3.71577e-06
183,3.71577e-06
184,3.71577e-06
185,3.71577e-06
186,3.71577e-06
187,3.71577e-06
188,3.71577e-06
189,3.71577e-06
190,3.71577e-06
191,3.71577e-06
192,3.71577e-06
193,3.71577e-06
194,3.71577e-06
195,3.71577e-06
196,3.71577e-06
197,3.71577e-06
198,3.71577e-06
199,3.71577e-06
200,3.71577e-06
