matrix(560, 1)
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.363939 )
( 0 )
( 0.36394 )
( 0 )
( 0.363942 )
( 0 )
( 0.363943 )
( 0 )
( 0.363944 )
( 0 )
( 0.363945 )
( 0 )
( 0.363946 )
( 0 )
( 0.363947 )
( 0 )
( 0.363948 )
( 0 )
( 0.363949 )
( 0 )
( 0.363951 )
( 0 )
( 0.363952 )
( 0 )
( 0.363953 )
( 0 )
( 0.363953 )
( 0 )
( 0.363954 )
( 0 )
( 0.363955 )
( 0 )
( 0.363956 )
( 0 )
( 0.363957 )
( 0 )
( 0.363958 )
( 0 )
( 0.363958 )
( 0 )
( 0 )
( 0 )
( 0.345436 )
( 0.337565 )
( 0.427782 )
( 0 )
( 0 )
( 0.345436 )
( 0.337566 )
( 0.427783 )
( 0 )
( 0 )
( 0.345435 )
( 0.337568 )
( 0.427783 )
( 0 )
( 0 )
( 0.345435 )
( 0.337569 )
( 0.427784 )
( 0 )
( 0 )
( 0.345434 )
( 0.337571 )
( 0.427785 )
( 0 )
( 0 )
( 0.345434 )
( 0.337572 )
( 0.427785 )
( 0 )
( 0 )
( 0.345433 )
( 0.337574 )
( 0.427786 )
( 0 )
( 0 )
( 0.345432 )
( 0.337575 )
( 0.427787 )
( 0 )
( 0 )
( 0.345432 )
( 0.337577 )
( 0.427787 )
( 0 )
( 0 )
( 0.345431 )
( 0.337578 )
( 0.427788 )
( 0 )
( 0 )
( 0.34543 )
( 0.33758 )
( 0.427788 )
( 0 )
( 0 )
( 0.34543 )
( 0.337581 )
( 0.427789 )
( 0 )
( 0 )
( 0.345429 )
( 0.337582 )
( 0.427789 )
( 0 )
( 0 )
( 0.345428 )
( 0.337584 )
( 0.42779 )
( 0 )
( 0 )
( 0.345427 )
( 0.337585 )
( 0.42779 )
( 0 )
( 0 )
( 0.345427 )
( 0.337586 )
( 0.427791 )
( 0 )
( 0 )
( 0.345426 )
( 0.337587 )
( 0.427791 )
( 0 )
( 0 )
( 0.345425 )
( 0.337588 )
( 0.427792 )
( 0 )
( 0 )
( 0.345424 )
( 0.337589 )
( 0.427792 )
( 0 )
( 0 )
( 0.345423 )
( 0.33759 )
( 0.427792 )
( 0 )
( 0 )
( 0.770966 )
( 0 )
( 0.645902 )
( 0.345419 )
( 0.863381 )
( 0.309114 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770967 )
( 0 )
( 0.645902 )
( 0.345419 )
( 0.863382 )
( 0.309115 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770969 )
( 0 )
( 0.645901 )
( 0.345418 )
( 0.863382 )
( 0.309116 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.77097 )
( 0 )
( 0.645901 )
( 0.345418 )
( 0.863382 )
( 0.309118 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770971 )
( 0 )
( 0.645901 )
( 0.345418 )
( 0.863382 )
( 0.309119 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770972 )
( 0 )
( 0.6459 )
( 0.345417 )
( 0.863382 )
( 0.30912 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770973 )
( 0 )
( 0.6459 )
( 0.345417 )
( 0.863383 )
( 0.309121 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770974 )
( 0 )
( 0.645899 )
( 0.345417 )
( 0.863383 )
( 0.309122 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770975 )
( 0 )
( 0.645899 )
( 0.345416 )
( 0.863383 )
( 0.309123 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770976 )
( 0 )
( 0.645898 )
( 0.345416 )
( 0.863383 )
( 0.309124 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770977 )
( 0 )
( 0.645898 )
( 0.345415 )
( 0.863383 )
( 0.309125 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770978 )
( 0 )
( 0.645897 )
( 0.345415 )
( 0.863384 )
( 0.309127 )
( 0 )
( 0 )
( 0 )
( 0 )
( 0.770979 )
( 0 )
( 0.645897 )
( 0.345414 )
( 0.863384 )
( 0.309128 )
( 0 )
( 0 )
( 0 )
