time,Integral
0,0
1,1.0304e-08
2,1.23383e-08
3,1.38772e-08
4,1.53869e-08
5,1.68912e-08
6,1.8391e-08
7,1.98864e-08
8,2.13775e-08
9,2.28642e-08
10,2.43466e-08
11,2.58246e-08
12,2.72983e-08
13,2.87677e-08
14,3.02327e-08
15,3.16934e-08
16,3.31499e-08
17,3.4602e-08
18,3.60499e-08
19,3.74934e-08
20,3.89327e-08
21,4.03678e-08
22,4.17985e-08
23,4.32251e-08
24,4.46473e-08
25,4.60654e-08
26,4.74792e-08
27,4.88888e-08
28,5.02941e-08
29,5.16953e-08
30,5.30923e-08
31,5.44851e-08
32,5.58736e-08
33,5.72581e-08
34,5.86383e-08
35,6.00144e-08
36,6.13863e-08
37,6.27541e-08
38,6.41177e-08
39,6.54773e-08
40,6.68326e-08
41,6.81839e-08
42,6.95311e-08
43,7.08741e-08
44,7.22131e-08
45,7.3548e-08
46,7.48788e-08
47,7.62055e-08
48,7.75282e-08
49,7.88468e-08
50,8.01614e-08
51,8.14719e-08
52,8.27784e-08
53,8.40808e-08
54,8.53793e-08
55,8.66737e-08
56,8.79641e-08
57,8.92506e-08
58,9.0533e-08
59,9.18115e-08
60,9.3086e-08
61,9.43565e-08
62,9.56231e-08
63,9.68857e-08
64,9.81444e-08
65,9.93991e-08
66,1.0065e-07
67,1.01897e-07
68,1.0314e-07
69,1.04379e-07
70,1.05614e-07
71,1.06845e-07
72,1.08073e-07
73,1.09296e-07
74,1.10516e-07
75,1.11732e-07
76,1.12944e-07
77,1.14152e-07
78,1.15356e-07
79,1.16557e-07
80,1.17753e-07
81,1.18946e-07
82,1.20135e-07
83,1.2132e-07
84,1.22502e-07
85,1.2368e-07
86,1.24853e-07
87,1.26024e-07
88,1.2719e-07
89,1.28353e-07
90,1.29511e-07
91,1.30667e-07
92,1.31818e-07
93,1.32966e-07
94,1.3411e-07
95,1.3525e-07
96,1.36386e-07
97,1.37519e-07
98,1.38649e-07
99,1.39774e-07
100,1.40896e-07
101,1.42014e-07
102,1.33155e-07
103,1.32628e-07
104,1.32601e-07
105,1.326e-07
106,1.326e-07
107,1.326e-07
108,1.326e-07
109,1.326e-07
110,1.326e-07
111,1.326e-07
112,1.326e-07
113,1.326e-07
114,1.326e-07
115,1.326e-07
116,1.326e-07
117,1.326e-07
118,1.326e-07
119,1.326e-07
120,1.326e-07
121,1.326e-07
122,1.326e-07
123,1.326e-07
124,1.326e-07
125,1.326e-07
126,1.326e-07
127,1.326e-07
128,1.326e-07
129,1.326e-07
130,1.326e-07
131,1.326e-07
132,1.326e-07
133,1.326e-07
134,1.326e-07
135,1.326e-07
136,1.326e-07
137,1.326e-07
138,1.326e-07
139,1.326e-07
140,1.326e-07
141,1.326e-07
142,1.326e-07
143,1.326e-07
144,1.326e-07
145,1.326e-07
146,1.326e-07
147,1.326e-07
148,1.326e-07
149,1.326e-07
150,1.326e-07
151,1.326e-07
152,1.326e-07
153,1.326e-07
154,1.326e-07
155,1.326e-07
156,1.326e-07
157,1.326e-07
158,1.326e-07
159,1.326e-07
160,1.326e-07
161,1.326e-07
162,1.326e-07
163,1.326e-07
164,1.326e-07
165,1.326e-07
166,1.326e-07
167,1.326e-07
168,1.326e-07
169,1.326e-07
170,1.326e-07
171,1.326e-07
172,1.326e-07
173,1.326e-07
174,1.326e-07
175,1.326e-07
176,1.326e-07
177,1.326e-07
178,1.326e-07
179,1.326e-07
180,1.326e-07
181,1.326e-07
182,1.326e-07
183,1.326e-07
184,1.326e-07
185,1.326e-07
186,1.326e-07
187,1.326e-07
188,1.326e-07
189,1.326e-07
190,1.326e-07
191,1.326e-07
192,1.326e-07
193,1.326e-07
194,1.326e-07
195,1.326e-07
196,1.326e-07
197,1.326e-07
198,1.326e-07
199,1.326e-07
200,1.326e-07
