matrix(560, 1)
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 0.325436 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 1 )
( 0.32564 )
( 0.329569 )
( 0.944053 )
( 0.42997 )
( 0.579022 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.42997 )
( 0.579022 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.42997 )
( 0.579022 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.42997 )
( 0.579022 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.42997 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.329569 )
( 0.944053 )
( 0.429969 )
( 0.579023 )
( 0.329337 )
( 0.673821 )
