matrix(560, 1)
( 0.0196735 )
( 0.0196739 )
( 0.0196744 )
( 0.0196748 )
( 0.0196752 )
( 0.0196757 )
( 0.0196761 )
( 0.0196765 )
( 0.0196769 )
( 0.0196773 )
( 0.0196777 )
( 0.0196781 )
( 0.0196784 )
( 0.0196788 )
( 0.0196791 )
( 0.0196795 )
( 0.0196798 )
( 0.0196801 )
( 0.0196803 )
( 0.0196806 )
( 0.521342 )
( 0.105355 )
( 0.521342 )
( 0.105355 )
( 0.521343 )
( 0.105356 )
( 0.521344 )
( 0.105356 )
( 0.521345 )
( 0.105357 )
( 0.521345 )
( 0.105357 )
( 0.521346 )
( 0.105358 )
( 0.521347 )
( 0.105358 )
( 0.521347 )
( 0.105359 )
( 0.521348 )
( 0.105359 )
( 0.521349 )
( 0.10536 )
( 0.521349 )
( 0.10536 )
( 0.52135 )
( 0.10536 )
( 0.521351 )
( 0.105361 )
( 0.521351 )
( 0.105361 )
( 0.521352 )
( 0.105362 )
( 0.521352 )
( 0.105362 )
( 0.521353 )
( 0.105363 )
( 0.521353 )
( 0.105363 )
( 0.521354 )
( 0.105363 )
( 0 )
( 0.273163 )
( 0.514806 )
( 0.512023 )
( 0.543908 )
( 0 )
( 0.273162 )
( 0.514806 )
( 0.512024 )
( 0.543909 )
( 0 )
( 0.273162 )
( 0.514806 )
( 0.512025 )
( 0.543909 )
( 0 )
( 0.273162 )
( 0.514805 )
( 0.512026 )
( 0.543909 )
( 0 )
( 0.273162 )
( 0.514805 )
( 0.512027 )
( 0.54391 )
( 0 )
( 0.273161 )
( 0.514805 )
( 0.512028 )
( 0.54391 )
( 0 )
( 0.273161 )
( 0.514804 )
( 0.512029 )
( 0.543911 )
( 0 )
( 0.273161 )
( 0.514804 )
( 0.51203 )
( 0.543911 )
( 0 )
( 0.273161 )
( 0.514804 )
( 0.512031 )
( 0.543912 )
( 0 )
( 0.27316 )
( 0.514803 )
( 0.512032 )
( 0.543912 )
( 0 )
( 0.27316 )
( 0.514803 )
( 0.512033 )
( 0.543912 )
( 0 )
( 0.27316 )
( 0.514802 )
( 0.512033 )
( 0.543913 )
( 0 )
( 0.273159 )
( 0.514802 )
( 0.512034 )
( 0.543913 )
( 0 )
( 0.273159 )
( 0.514801 )
( 0.512035 )
( 0.543913 )
( 0 )
( 0.273159 )
( 0.514801 )
( 0.512036 )
( 0.543914 )
( 0 )
( 0.273158 )
( 0.5148 )
( 0.512037 )
( 0.543914 )
( 0 )
( 0.273158 )
( 0.5148 )
( 0.512038 )
( 0.543914 )
( 0 )
( 0.273158 )
( 0.514799 )
( 0.512038 )
( 0.543915 )
( 0 )
( 0.273157 )
( 0.514799 )
( 0.512039 )
( 0.543915 )
( 0 )
( 0.273157 )
( 0.514798 )
( 0.512039 )
( 0.543915 )
( 0.346763 )
( 0.0884752 )
( 0.665203 )
( 0.371154 )
( 0.621004 )
( 0.514796 )
( 0.697866 )
( 0.501979 )
( 0 )
( 0.0884982 )
( 0.346763 )
( 0.0884756 )
( 0.665203 )
( 0.371153 )
( 0.621003 )
( 0.514795 )
( 0.697866 )
( 0.50198 )
( 0 )
( 0.0884979 )
( 0.346763 )
( 0.0884761 )
( 0.665204 )
( 0.371153 )
( 0.621003 )
( 0.514795 )
( 0.697866 )
( 0.501981 )
( 0 )
( 0.0884976 )
( 0.346764 )
( 0.0884766 )
( 0.665205 )
( 0.371153 )
( 0.621003 )
( 0.514795 )
( 0.697866 )
( 0.501982 )
( 0 )
( 0.0884973 )
( 0.346764 )
( 0.0884771 )
( 0.665205 )
( 0.371152 )
( 0.621003 )
( 0.514795 )
( 0.697866 )
( 0.501983 )
( 0 )
( 0.0884969 )
( 0.346765 )
( 0.0884775 )
( 0.665206 )
( 0.371152 )
( 0.621003 )
( 0.514795 )
( 0.697867 )
( 0.501983 )
( 0 )
( 0.0884966 )
( 0.346765 )
( 0.088478 )
( 0.665207 )
( 0.371151 )
( 0.621002 )
( 0.514794 )
( 0.697867 )
( 0.501984 )
( 0 )
( 0.0884962 )
( 0.346765 )
( 0.0884785 )
( 0.665208 )
( 0.371151 )
( 0.621002 )
( 0.514794 )
( 0.697867 )
( 0.501985 )
( 0 )
( 0.0884958 )
( 0.346766 )
( 0.088479 )
( 0.665208 )
( 0.37115 )
( 0.621002 )
( 0.514794 )
( 0.697867 )
( 0.501986 )
( 0 )
( 0.0884954 )
( 0.346766 )
( 0.0884794 )
( 0.665209 )
( 0.37115 )
( 0.621001 )
( 0.514794 )
( 0.697867 )
( 0.501986 )
( 0 )
( 0.088495 )
( 0.346766 )
( 0.0884799 )
( 0.66521 )
( 0.371149 )
( 0.621001 )
( 0.514793 )
( 0.697867 )
( 0.501987 )
( 0 )
( 0.0884945 )
( 0.346767 )
( 0.0884803 )
( 0.66521 )
( 0.371149 )
( 0.621001 )
( 0.514793 )
( 0.697867 )
( 0.501988 )
( 0 )
( 0.0884941 )
( 0.346767 )
( 0.0884807 )
( 0.665211 )
( 0.371148 )
( 0.621 )
( 0.514793 )
( 0.697868 )
( 0.501989 )
( 0 )
( 0.0884936 )
( 0.346767 )
( 0.0884812 )
( 0.665211 )
( 0.371148 )
( 0.621 )
( 0.514792 )
( 0.697868 )
( 0.501989 )
( 0 )
( 0.0884932 )
( 0.346768 )
( 0.0884816 )
( 0.665212 )
( 0.371147 )
( 0.621 )
( 0.514792 )
( 0.697868 )
( 0.50199 )
( 0 )
( 0.0884927 )
( 0.346768 )
( 0.0884819 )
( 0.665212 )
( 0.371147 )
( 0.620999 )
( 0.514792 )
( 0.697868 )
( 0.501991 )
( 0 )
( 0.0884923 )
( 0.346768 )
( 0.0884823 )
( 0.665213 )
( 0.371146 )
( 0.620999 )
( 0.514792 )
( 0.697868 )
( 0.501991 )
( 0 )
( 0.0884918 )
( 0.346769 )
( 0.0884826 )
( 0.665213 )
( 0.371146 )
( 0.620999 )
( 0.514791 )
( 0.697868 )
( 0.501992 )
( 0 )
( 0.0884914 )
( 0.346769 )
( 0.088483 )
( 0.665214 )
( 0.371145 )
( 0.620998 )
( 0.514791 )
( 0.697868 )
( 0.501992 )
( 0 )
( 0.0884909 )
( 0.346769 )
( 0.0884832 )
( 0.665214 )
( 0.371144 )
( 0.620998 )
( 0.514791 )
( 0.697869 )
( 0.501993 )
( 0 )
( 0.0884904 )
( 0.665221 )
( 0.395648 )
( 0.0884846 )
( 0.665217 )
( 0 )
( 0 )
( 0.620995 )
( 0.0909293 )
( 0.395653 )
( 0.0884889 )
( 0.665221 )
( 0.395648 )
( 0.0884849 )
( 0.665217 )
( 0 )
( 0 )
( 0.620994 )
( 0.0909299 )
( 0.395653 )
( 0.0884888 )
( 0.665221 )
( 0.395648 )
( 0.0884852 )
( 0.665217 )
( 0 )
( 0 )
( 0.620994 )
( 0.0909304 )
( 0.395653 )
( 0.0884886 )
( 0.665221 )
( 0.395649 )
( 0.0884854 )
( 0.665218 )
( 0 )
( 0 )
( 0.620994 )
( 0.0909309 )
( 0.395652 )
( 0.0884884 )
( 0.665221 )
( 0.395649 )
( 0.0884857 )
( 0.665218 )
( 0 )
( 0 )
( 0.620993 )
( 0.0909315 )
( 0.395652 )
( 0.0884882 )
( 0.66522 )
( 0.395649 )
( 0.0884859 )
( 0.665218 )
( 0 )
( 0 )
( 0.620993 )
( 0.090932 )
( 0.395652 )
( 0.088488 )
( 0.66522 )
( 0.395649 )
( 0.0884862 )
( 0.665218 )
( 0 )
( 0 )
( 0.620992 )
( 0.0909326 )
( 0.395652 )
( 0.0884878 )
( 0.66522 )
( 0.39565 )
( 0.0884864 )
( 0.665219 )
( 0 )
( 0 )
( 0.620992 )
( 0.0909331 )
( 0.395651 )
( 0.0884876 )
( 0.66522 )
( 0.39565 )
( 0.0884867 )
( 0.665219 )
( 0 )
( 0 )
( 0.620991 )
( 0.0909337 )
( 0.395651 )
( 0.0884874 )
( 0.665219 )
( 0.39565 )
( 0.0884869 )
( 0.665219 )
( 0 )
( 0 )
( 0.620991 )
( 0.0909342 )
( 0.395651 )
( 0.0884872 )
( 0 )
( 0 )
( 0.62099 )
( 0.0909347 )
( 0 )
( 0 )
( 0.62099 )
( 0.0909353 )
( 0 )
( 0 )
( 0.620989 )
( 0.0909358 )
( 0 )
( 0 )
( 0.620989 )
( 0.0909363 )
( 0 )
( 0 )
( 0.620988 )
( 0.0909368 )
( 0 )
( 0 )
( 0.620987 )
( 0.0909373 )
( 0 )
( 0 )
( 0.620987 )
( 0.0909378 )
( 0 )
( 0 )
( 0.620986 )
( 0.0909382 )
( 0 )
( 0 )
( 0.620986 )
( 0.0909386 )
( 0 )
( 0 )
( 0.620985 )
( 0.0909389 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
( 0 )
( 1 )
